Name	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	Date Established	Region
Nahli'el	374	335	278	264	282	248	231	221	244	230	1984	Benjamin
Negohot	194	182	172	150	135	134	85	-	409	N/A	1982	Mount Hebron
Netiv HaGedud	108	114	125	127	132	120	132	133	139	143	1976	Jordan Valley
Neve Daniyyel	1883	1760	1609	1467	1225	1073	1020	977	933	868	1982	Etzion Bloc
Nili	913	912	886	852	829	806	769	754	721	666	1981	Benjamin
Niran	54	56	52	49	53	52	56	58	56	45	1977	Jordan Valley
Nofim	410	406	409	400	414	398	402	338	385	362	?	Samaria
Nokdim	886	828	782	729	674	646	615	618	611	526	1982	Etzion Bloc
No'omi	122	128	129	130	127	123	129	133	121	133	1982	Jordan Valley
Ofarim	n/a	n/a	n/a	n/a	merged with Beit Arye	870	810	763	686	623	1989	Benjamin
Ofra	2735	2664	2531	2384	2264	2214	2060	2020	1880	1870	1975	Benjamin
Oranit	6328	5987	5782	5585	5458	5316	5190	5150	5070	4780	1984	Samaria
Otni'el	758	763	752	747	692	698	619	571	560	553	1983	Mount Hebron
Pedu'el	1227	1168	1116	1113	1219	1088	1010	899	885	834	1984	Samaria
Pene Hever (Ma'ale Hever)	421	396	392	375	377	376	355	339	304	266	1982	Mount Hebron
Pesagot	1623	1545	1489	1464	1388	1278	1180	1070	1090	1030	1981	Benjamin
Peza'el	211	217	214	215	215	213	216	220	224	228	1975	Jordan Valley
Rehan	171	158	153	150	148	129	131	125	120	100	1977	Samaria
Revava	1075	989	909	827	738	703	633	552	504	389	1991	Samaria
Rimmonim	602	619	565	561	536	512	509	510	499	474	1977	Benjamin
Ro'i	122	126	128	117	115	118	122	131	141	133	1976	Jordan Valley
Rosh Zurim	550	470	422	364	298	263	247	244	265	290	1969	Etzion Bloc
Rotem (Nahal)	-	-	-	-	-	-	-	-	-	-	1984	
Sa Nur	0	0	0	0	112	55	43	54	52	54	1982	Samaria
Sal'it	465	474	429	447	443	441	439	425	410	377	1977	Samaria
Sha'are Tikva	4084	3931	3773	3709	3685	3692	3650	3500	3380	3220	1982	Samaria
Shadmot Mehola	538	542	536	516	517	507	487	449	399	400	1978	
Shaked	546	525	536	527	509	524	539	522	497	468	1981	Samaria
Shani	431	417	416	424	443	438	430	-	483	490	1989	Mount Hebron
Shavei Shomron	692	650	631	606	539	604	563	525	573	569	1977	Samaria
Shilo	2303	2171	2068	1945	1825	1810	1710	1620	1580	1490	1979	Benjamin
Shim'a	376	370	368	349	344	357	340	336	296	263	1985	Mount Hebron
Shvut Rachel	-	-	-	-	-	-	-	-	-	-	N/A	
Susiya	792	754	737	700	663	643	585	525	482	468	1983	Mount Hebron
Talmon	2563	2350	2135	1964	1760	1618	1510	1350	1250	1150	1989	Benjamin
Tekoa	1635	1455	1343	1243	1179	1116	1040	998	980	948	1977	Etzion Bloc
Telem	176	192	167	152	141	127	76	93	97	101	1981	Mount Hebron
Tene (Ma'ale Omarim)	673	658	650	532	538	563	525	534	561	580	1983	Mount Hebron
Tomer	282	290	282	281	296	298	303	303	308	307	1978	Jordan Valley
Tzurif	-	-	-	-	-	-	-	-	-	-	1984	Etzion Bloc
Vered Jericho	188	190	180	156	161	161	157	157	164	155	1980	Benjamin
Ya'arit	-	-	-	-	-	-	-	-	-	-	N/A	Samaria
Yafit	127	111	104	99	101	95	102	122	125	118	1980	Jordan Valley
Yakir	1129	1088	1025	984	960	932	862	834	822	765	1981	Samaria
Yitav	227	187	175	156	141	136	139	133	114	107	1970	Jordan Valley
Yizhar	864	743	673	590	534	440	398	342	329	328	1983	Samaria
Zufin	1181	1143	1082	1043	1048	1040	997	890	857	794	N/A	Samaria
